,trade_dt,close
0,20150209,2.331
1,20150210,2.369
2,20150211,2.38
3,20150212,2.384
4,20150213,2.39
5,20150216,2.394
6,20150217,2.411
7,20150225,2.37
8,20150226,2.45
9,20150227,2.438
10,20150302,2.441
11,20150303,2.364
12,20150304,2.362
13,20150305,2.334
14,20150306,2.339
15,20150309,2.397
16,20150310,2.359
17,20150311,2.374
18,20150312,2.448
19,20150313,2.455
20,20150316,2.51
21,20150317,2.543
22,20150318,2.611
23,20150319,2.587
24,20150320,2.635
25,20150323,2.676
26,20150324,2.638
27,20150325,2.604
28,20150326,2.643
29,20150327,2.649
30,20150330,2.74
31,20150331,2.707
32,20150401,2.753
33,20150402,2.739
34,20150403,2.773
35,20150407,2.842
36,20150408,2.898
37,20150409,2.877
38,20150410,2.936
39,20150413,2.991
40,20150414,2.999
41,20150415,3.011
42,20150416,3.145
43,20150417,3.185
44,20150420,3.103
45,20150421,3.141
46,20150422,3.241
47,20150423,3.212
48,20150424,3.171
49,20150427,3.255
50,20150428,3.228
51,20150429,3.22
52,20150430,3.198
53,20150504,3.211
54,20150505,3.096
55,20150506,3.083
56,20150507,3.045
57,20150508,3.055
58,20150511,3.11
59,20150512,3.129
60,20150513,3.084
61,20150514,3.073
62,20150515,3.006
63,20150518,2.946
64,20150519,3.066
65,20150520,3.066
66,20150521,3.104
67,20150522,3.199
68,20150525,3.303
69,20150526,3.32
70,20150527,3.285
71,20150528,3.079
72,20150529,3.066
73,20150601,3.198
74,20150602,3.209
75,20150603,3.191
76,20150604,3.259
77,20150605,3.254
78,20150608,3.427
79,20150609,3.361
80,20150610,3.32
81,20150611,3.3
82,20150612,3.313
83,20150615,3.216
84,20150616,3.148
85,20150617,3.175
86,20150618,3.042
87,20150619,2.874
88,20150623,2.976
89,20150624,3.018
90,20150625,2.919
91,20150626,2.686
92,20150629,2.66
93,20150630,2.851
94,20150701,2.728
95,20150702,2.684
96,20150703,2.579
97,20150706,2.742
98,20150707,2.79
99,20150708,2.604
100,20150709,2.792
101,20150710,2.905
102,20150713,2.862
103,20150714,2.762
104,20150715,2.749
105,20150716,2.74
106,20150717,2.803
107,20150720,2.777
108,20150721,2.768
109,20150722,2.737
110,20150723,2.794
111,20150724,2.745
112,20150727,2.494
113,20150728,2.484
114,20150729,2.534
115,20150730,2.469
116,20150731,2.462
117,20150803,2.478
118,20150804,2.54
119,20150805,2.491
120,20150806,2.471
121,20150807,2.504
122,20150810,2.616
123,20150811,2.59
124,20150812,2.564
125,20150813,2.576
126,20150814,2.575
127,20150817,2.548
128,20150818,2.41
129,20150819,2.427
130,20150820,2.361
131,20150821,2.274
132,20150824,2.047
133,20150825,1.886
134,20150826,1.946
135,20150827,2.11
136,20150828,2.168
137,20150831,2.209
138,20150901,2.228
139,20150902,2.236
140,20150907,2.14
141,20150908,2.177
142,20150909,2.209
143,20150910,2.206
144,20150911,2.193
145,20150914,2.223
146,20150915,2.167
147,20150916,2.242
148,20150917,2.198
149,20150918,2.198
150,20150921,2.212
151,20150922,2.237
152,20150923,2.18
153,20150924,2.187
154,20150925,2.171
155,20150928,2.174
156,20150929,2.127
157,20150930,2.147
158,20151008,2.196
159,20151009,2.221
160,20151012,2.288
161,20151013,2.279
162,20151014,2.258
163,20151015,2.304
164,20151016,2.322
165,20151019,2.32
166,20151020,2.341
167,20151021,2.32
168,20151022,2.333
169,20151023,2.35
170,20151026,2.35
171,20151027,2.348
172,20151028,2.308
173,20151029,2.311
174,20151030,2.31
175,20151102,2.283
176,20151103,2.272
177,20151104,2.386
178,20151105,2.445
179,20151106,2.499
180,20151109,2.532
181,20151110,2.521
182,20151111,2.504
183,20151112,2.47
184,20151113,2.444
185,20151116,2.449
186,20151117,2.45
187,20151118,2.438
188,20151119,2.471
189,20151120,2.459
190,20151123,2.45
191,20151124,2.444
192,20151125,2.454
193,20151126,2.447
194,20151127,2.318
195,20151130,2.329
196,20151201,2.339
197,20151202,2.462
198,20151203,2.46
199,20151204,2.398
200,20151207,2.39
201,20151208,2.366
202,20151209,2.369
203,20151210,2.355
204,20151211,2.344
205,20151214,2.415
206,20151215,2.382
207,20151216,2.372
208,20151217,2.401
209,20151218,2.422
210,20151221,2.499
211,20151222,2.49
212,20151223,2.499
213,20151224,2.478
214,20151225,2.486
215,20151228,2.412
216,20151229,2.432
217,20151230,2.424
218,20151231,2.416
219,20160104,2.278
220,20160105,2.286
221,20160106,2.317
222,20160107,2.177
223,20160108,2.219
224,20160111,2.125
225,20160112,2.131
226,20160113,2.112
227,20160114,2.131
228,20160115,2.07
229,20160118,2.07
230,20160119,2.13
231,20160120,2.091
232,20160121,2.043
233,20160122,2.067
234,20160125,2.065
235,20160126,1.958
236,20160127,1.957
237,20160128,1.915
238,20160129,1.975
239,20160201,1.942
240,20160202,1.975
241,20160203,1.953
242,20160204,1.978
243,20160205,1.968
244,20160215,1.949
245,20160216,2.001
246,20160217,2.013
247,20160218,2.011
248,20160219,2.006
249,20160222,2.054
250,20160223,2.03
251,20160224,2.039
252,20160225,1.936
253,20160226,1.956
254,20160229,1.937
255,20160301,1.971
256,20160302,2.049
257,20160303,2.053
258,20160304,2.122
259,20160307,2.111
260,20160308,2.115
261,20160309,2.107
262,20160310,2.059
263,20160311,2.066
264,20160314,2.076
265,20160315,2.098
266,20160316,2.135
267,20160317,2.132
268,20160318,2.14
269,20160321,2.192
270,20160322,2.169
271,20160323,2.171
272,20160324,2.14
273,20160325,2.145
274,20160328,2.121
275,20160329,2.104
276,20160330,2.158
277,20160331,2.156
278,20160401,2.165
279,20160405,2.175
280,20160406,2.165
281,20160407,2.139
282,20160408,2.124
283,20160411,2.144
284,20160412,2.142
285,20160413,2.168
286,20160414,2.174
287,20160415,2.178
288,20160418,2.154
289,20160419,2.161
290,20160420,2.148
291,20160421,2.146
292,20160422,2.156
293,20160425,2.145
294,20160426,2.152
295,20160427,2.144
296,20160428,2.142
297,20160429,2.135
298,20160503,2.159
299,20160504,2.153
300,20160505,2.151
301,20160506,2.103
302,20160509,2.071
303,20160510,2.07
304,20160511,2.077
305,20160512,2.083
306,20160513,2.079
307,20160516,2.081
308,20160517,2.077
309,20160518,2.078
310,20160519,2.072
311,20160520,2.083
312,20160523,2.084
313,20160524,2.069
314,20160525,2.074
315,20160526,2.074
316,20160527,2.078
317,20160530,2.089
318,20160531,2.16
319,20160601,2.142
320,20160602,2.14
321,20160603,2.154
322,20160606,2.141
323,20160607,2.143
324,20160608,2.139
325,20160613,2.088
326,20160614,2.101
327,20160615,2.109
328,20160616,2.102
329,20160617,2.109
330,20160620,2.114
331,20160621,2.112
332,20160622,2.124
333,20160623,2.116
334,20160624,2.09
335,20160627,2.111
336,20160628,2.117
337,20160629,2.135
338,20160630,2.136
339,20160701,2.142
340,20160704,2.177
341,20160705,2.185
342,20160706,2.184
343,20160707,2.189
344,20160708,2.177
345,20160711,2.188
346,20160712,2.233
347,20160713,2.236
348,20160714,2.233
349,20160715,2.236
350,20160718,2.228
351,20160719,2.216
352,20160720,2.209
353,20160721,2.22
354,20160722,2.2
355,20160725,2.201
356,20160726,2.227
357,20160727,2.215
358,20160728,2.211
359,20160729,2.201
360,20160801,2.19
361,20160802,2.19
362,20160803,2.188
363,20160804,2.186
364,20160805,2.195
365,20160808,2.204
366,20160809,2.221
367,20160810,2.216
368,20160811,2.223
369,20160812,2.272
370,20160815,2.336
371,20160816,2.306
372,20160817,2.3
373,20160818,2.29
374,20160819,2.301
375,20160822,2.287
376,20160823,2.29
377,20160824,2.28
378,20160825,2.269
379,20160826,2.267
380,20160829,2.265
381,20160830,2.276
382,20160831,2.284
383,20160901,2.268
384,20160902,2.279
385,20160905,2.28
386,20160906,2.286
387,20160907,2.29
388,20160908,2.29
389,20160909,2.28
390,20160912,2.25
391,20160913,2.242
392,20160914,2.229
393,20160919,2.242
394,20160920,2.239
395,20160921,2.243
396,20160922,2.255
397,20160923,2.249
398,20160926,2.222
399,20160927,2.229
400,20160928,2.219
401,20160929,2.23
402,20160930,2.235
403,20161010,2.262
404,20161011,2.265
405,20161012,2.257
406,20161013,2.257
407,20161014,2.266
408,20161017,2.25
409,20161018,2.282
410,20161019,2.279
411,20161020,2.28
412,20161021,2.295
413,20161024,2.324
414,20161025,2.319
415,20161026,2.311
416,20161027,2.305
417,20161028,2.307
418,20161031,2.305
419,20161101,2.316
420,20161102,2.3
421,20161103,2.327
422,20161104,2.324
423,20161107,2.33
424,20161108,2.338
425,20161109,2.32
426,20161110,2.344
427,20161111,2.363
428,20161114,2.374
429,20161115,2.366
430,20161116,2.361
431,20161117,2.369
432,20161118,2.363
433,20161121,2.39
434,20161122,2.408
435,20161123,2.415
436,20161124,2.425
437,20161125,2.451
438,20161128,2.46
439,20161129,2.446
440,20161130,2.419
441,20161201,2.433
442,20161202,2.416
443,20161205,2.373
444,20161206,2.368
445,20161207,2.375
446,20161208,2.38
447,20161209,2.413
448,20161212,2.386
449,20161213,2.371
450,20161214,2.36
451,20161215,2.308
452,20161216,2.301
453,20161219,2.293
454,20161220,2.281
455,20161221,2.298
456,20161222,2.292
457,20161223,2.279
458,20161226,2.298
459,20161227,2.289
460,20161228,2.278
461,20161229,2.278
462,20161230,2.287
463,20170103,2.307
464,20170104,2.325
465,20170105,2.322
466,20170106,2.314
467,20170109,2.319
468,20170110,2.313
469,20170111,2.303
470,20170112,2.296
471,20170113,2.31
472,20170116,2.339
473,20170117,2.329
474,20170118,2.344
475,20170119,2.334
476,20170120,2.349
477,20170123,2.348
478,20170124,2.354
479,20170125,2.357
480,20170126,2.366
481,20170203,2.342
482,20170206,2.343
483,20170207,2.335
484,20170208,2.348
485,20170209,2.354
486,20170210,2.366
487,20170213,2.378
488,20170214,2.37
489,20170215,2.369
490,20170216,2.372
491,20170217,2.361
492,20170220,2.395
493,20170221,2.393
494,20170222,2.396
495,20170223,2.387
496,20170224,2.385
497,20170227,2.367
498,20170228,2.368
499,20170301,2.368
500,20170302,2.353
501,20170303,2.343
502,20170306,2.349
503,20170307,2.354
504,20170308,2.355
505,20170309,2.343
506,20170310,2.335
507,20170313,2.355
508,20170314,2.351
509,20170315,2.354
510,20170316,2.369
511,20170317,2.343
512,20170320,2.347
513,20170321,2.353
514,20170322,2.336
515,20170323,2.344
516,20170324,2.364
517,20170327,2.36
518,20170328,2.354
519,20170329,2.352
520,20170330,2.343
521,20170331,2.356
522,20170405,2.382
523,20170406,2.384
524,20170407,2.384
525,20170410,2.377
526,20170411,2.378
527,20170412,2.374
528,20170413,2.367
529,20170414,2.35
530,20170417,2.353
531,20170418,2.338
532,20170419,2.322
533,20170420,2.331
534,20170421,2.341
535,20170424,2.336
536,20170425,2.342
537,20170426,2.339
538,20170427,2.344
539,20170428,2.34
540,20170502,2.332
541,20170503,2.325
542,20170504,2.32
543,20170505,2.313
544,20170508,2.318
545,20170509,2.315
546,20170510,2.321
547,20170511,2.334
548,20170512,2.37
549,20170515,2.374
550,20170516,2.379
551,20170517,2.358
552,20170518,2.35
553,20170519,2.355
554,20170522,2.373
555,20170523,2.403
556,20170524,2.399
557,20170525,2.47
558,20170526,2.466
559,20170531,2.475
560,20170601,2.49
561,20170602,2.47
562,20170605,2.442
563,20170606,2.457
564,20170607,2.48
565,20170608,2.501
566,20170609,2.517
567,20170612,2.514
568,20170613,2.512
569,20170614,2.482
570,20170615,2.465
571,20170616,2.46
572,20170619,2.497
573,20170620,2.483
574,20170621,2.509
575,20170622,2.524
576,20170623,2.543
577,20170626,2.554
578,20170627,2.564
579,20170628,2.548
580,20170629,2.565
581,20170630,2.558
582,20170703,2.543
583,20170704,2.52
584,20170705,2.563
585,20170706,2.567
586,20170707,2.561
587,20170710,2.575
588,20170711,2.604
589,20170712,2.597
590,20170713,2.638
591,20170714,2.665
592,20170717,2.669
593,20170718,2.659
594,20170719,2.702
595,20170720,2.71
596,20170721,2.68
597,20170724,2.7
598,20170725,2.683
599,20170726,2.677
600,20170727,2.677
601,20170728,2.68
602,20170731,2.682
603,20170801,2.724
604,20170802,2.728
605,20170803,2.689
606,20170804,2.671
607,20170807,2.679
608,20170808,2.682
609,20170809,2.664
610,20170810,2.655
611,20170811,2.613
612,20170814,2.635
613,20170815,2.651
614,20170816,2.64
615,20170817,2.652
616,20170818,2.664
617,20170821,2.663
618,20170822,2.689
619,20170823,2.708
620,20170824,2.698
621,20170825,2.757
622,20170828,2.788
623,20170829,2.789
624,20170830,2.774
625,20170831,2.766
626,20170901,2.76
627,20170904,2.764
628,20170905,2.782
629,20170906,2.764
630,20170907,2.743
631,20170908,2.738
632,20170911,2.73
633,20170912,2.746
634,20170913,2.739
635,20170914,2.722
636,20170915,2.722
637,20170918,2.729
638,20170919,2.72
639,20170920,2.717
640,20170921,2.728
641,20170922,2.729
642,20170925,2.729
643,20170926,2.731
644,20170927,2.711
645,20170928,2.715
646,20170929,2.726
647,20171009,2.75
648,20171010,2.746
649,20171011,2.762
650,20171012,2.773
651,20171013,2.771
652,20171016,2.781
653,20171017,2.779
654,20171018,2.802
655,20171019,2.806
656,20171020,2.79
657,20171023,2.791
658,20171024,2.806
659,20171025,2.802
660,20171026,2.827
661,20171027,2.873
662,20171030,2.861
663,20171031,2.851
664,20171101,2.842
665,20171102,2.847
666,20171103,2.851
667,20171106,2.843
668,20171107,2.875
669,20171108,2.874
670,20171109,2.885
671,20171110,2.918
672,20171113,2.928
673,20171114,2.913
674,20171115,2.901
675,20171116,2.932
676,20171117,2.99
677,20171120,2.996
678,20171121,3.046
679,20171122,3.067
680,20171123,2.991
681,20171124,2.99
682,20171127,2.966
683,20171128,2.896
684,20171129,2.89
685,20171130,2.858
686,20171201,2.838
687,20171204,2.858
688,20171205,2.908
689,20171206,2.871
690,20171207,2.844
691,20171208,2.865
692,20171211,2.898
693,20171212,2.846
694,20171213,2.87
695,20171214,2.85
696,20171215,2.816
697,20171218,2.828
698,20171219,2.87
699,20171220,2.876
700,20171221,2.893
701,20171222,2.878
702,20171225,2.876
703,20171226,2.893
704,20171227,2.834
705,20171228,2.855
706,20171229,2.858
707,20180102,2.907
708,20180103,2.912
709,20180104,2.919
710,20180105,2.933
711,20180108,2.944
712,20180109,2.97
713,20180110,2.994
714,20180111,2.991
715,20180112,3.018
716,20180115,3.043
717,20180116,3.064
718,20180117,3.071
719,20180118,3.106
720,20180119,3.113
721,20180122,3.129
722,20180123,3.173
723,20180124,3.172
724,20180125,3.15
725,20180126,3.171
726,20180129,3.114
727,20180130,3.075
728,20180131,3.113
729,20180201,3.134
730,20180202,3.145
731,20180205,3.18
732,20180206,3.11
733,20180207,3.023
734,20180208,2.939
735,20180209,2.803
736,20180212,2.8
737,20180213,2.848
738,20180214,2.866
739,20180222,2.925
740,20180223,2.955
741,20180226,2.965
742,20180227,2.92
743,20180228,2.871
744,20180301,2.884
745,20180302,2.856
746,20180305,2.855
747,20180306,2.888
748,20180307,2.871
749,20180308,2.893
750,20180309,2.903
751,20180312,2.905
752,20180313,2.873
753,20180314,2.863
754,20180315,2.89
755,20180316,2.862
756,20180319,2.892
757,20180320,2.895
758,20180321,2.884
759,20180322,2.857
760,20180323,2.781
761,20180326,2.734
762,20180327,2.739
763,20180328,2.688
764,20180329,2.734
765,20180330,2.713
766,20180402,2.702
767,20180403,2.693
768,20180404,2.694
769,20180409,2.711
770,20180410,2.775
771,20180411,2.775
772,20180412,2.742
773,20180413,2.717
774,20180416,2.655
775,20180417,2.626
776,20180418,2.643
777,20180419,2.676
778,20180420,2.637
779,20180423,2.658
780,20180424,2.718
781,20180425,2.693
782,20180426,2.655
783,20180427,2.642
784,20180502,2.646
785,20180503,2.654
786,20180504,2.634
787,20180507,2.674
788,20180508,2.714
789,20180509,2.711
790,20180510,2.723
791,20180511,2.716
792,20180514,2.745
793,20180515,2.74
794,20180516,2.705
795,20180517,2.689
796,20180518,2.733
797,20180521,2.736
798,20180522,2.717
799,20180523,2.672
800,20180524,2.655
801,20180525,2.654
802,20180528,2.668
803,20180529,2.655
804,20180530,2.601
805,20180531,2.651
806,20180601,2.643
807,20180604,2.686
808,20180605,2.696
809,20180606,2.686
